0.0,1.522,0.0,1007.0,0.0,0.0,0.0
0.001,311.53,32.0,852.0,267.0,201.0,371.5
0.002,543.997,59.0,1256.0,591.0,376.0,672.0
0.003,524.884,29.0,1662.0,553.0,387.5,639.75
0.004,523.989,73.0,1253.0,534.0,355.0,647.5
0.005,522.674,94.0,2675.0,542.0,369.0,637.0
0.006,498.318,47.0,3133.0,534.0,341.0,618.0
0.007,532.113,45.0,12288.0,549.0,377.25,634.75
0.008,562.921,55.0,1291.0,564.0,415.0,672.0
0.009,528.946,28.0,1645.0,538.0,369.0,649.0
0.01,541.009,49.0,1323.0,543.5,383.25,663.75
0.02,562.052,63.0,1302.0,562.0,395.0,704.0
0.03,534.1231231231232,74.0,1288.0,513.0,375.0,670.5
0.04,575.956,107.0,1147.0,556.0,403.5,723.0
0.05,545.64,121.0,1269.0,512.5,407.5,701.75
0.1,552.08,199.0,1380.0,498.5,364.0,708.25
0.2,523.28,118.0,1105.0,522.0,364.25,620.25
0.3,467.72727272727275,166.0,837.0,457.0,355.0,616.5
0.4,488.76,281.0,1009.0,439.0,343.0,594.5
0.5,550.35,242.0,850.0,566.5,437.5,641.25
1.0,-999013.7,-999803.0,-994210.0,-999632.0,-999736.75,-999251.25
